Name,Category,Parts,Total LOC
LinkedList,Data,4,19
Node,Data,1,5
ModuleReport,I/O,5,30
ProgramReport,I/O,3,18
Application,Control,1,11
CountTree,Data,4,33
SingleFileCounter,Calculation,3,46
DisplayTable,I/O,6,32
DisplaySizeTableReport,I/O,6,39
Application,Control,1,7
Application,Control,3,17
Application,Control,1,33
Integrator,Calculation,3,26
ReadFile,Control,1,6
WriteFile,Control,3,29
AddToFile,Control,1,26
ModifyFile,Control,1,23
Application,Control,2,14
Application,Control,1,38
HistoricalData,Data,2,16
EstimationMethod,Control,2,6
ProbeEstimation,Control,3,13
ProbeSizeA,Control,3,23
ProbeSizeB,Control,3,23
ProbeSizeC,Control,3,17
ProbeTimeA,Control,3,25
ProbeTimeB,Control,3,25
ProbeTimeC1,Control,3,12
ProbeTimeC2,Control,3,12
ProbeTimeC3,Control,3,12
Application,Control,1,45
CorrelationMixin,Calculation,2,5
NoPredictionIntervalMixin,Calculation,4,9
PredictionIntervalRangeMixin,Calculation,4,13
PredictionIntervalProductivityMixin,Calculation,5,25
SortFile,Control,2,27
Application,Control,3,16
ChiSquaredTest,Calculation,6,41
SegmentRange,Data,3,8
